metric,family,description
boxentry_box_entry_via_cross_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a cross, from the Box Entry model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cross_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a cross, from the Box Entry model (season total)."
boxentry_box_entry_via_cross_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a cross, from the Box Entry model (season total)."
boxentry_box_entry_via_cutback,Box Entries,"Box entries delivered via a cutback, from the Box Entry model (season total)."
boxentry_box_entry_via_cutback__H1,Box Entries,"Box entries delivered via a cutback, from the Box Entry model during the first half (and first-half extra time where played)."
boxentry_box_entry_via_cutback__H1_per90,Box Entries,"Box entries delivered via a cutback, from the Box Entry model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__H1_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a cutback, from the Box Entry model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__H1_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a cutback, from the Box Entry model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__H1_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a cutback, from the Box Entry model during the first half (and first-half extra time where played)."
boxentry_box_entry_via_cutback__H1_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a cutback, from the Box Entry model during the first half (and first-half extra time where played)."
boxentry_box_entry_via_cutback__H2,Box Entries,"Box entries delivered via a cutback, from the Box Entry model during the second half (and second-half extra time / shootout where played)."
boxentry_box_entry_via_cutback__H2_per90,Box Entries,"Box entries delivered via a cutback, from the Box Entry model during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__H2_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a cutback, from the Box Entry model during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__H2_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a cutback, from the Box Entry model during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__H2_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a cutback, from the Box Entry model during the second half (and second-half extra time / shootout where played)."
boxentry_box_entry_via_cutback__H2_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a cutback, from the Box Entry model during the second half (and second-half extra time / shootout where played)."
boxentry_box_entry_via_cutback__away,Box Entries,"Box entries delivered via a cutback, from the Box Entry model in away matches only."
boxentry_box_entry_via_cutback__away_per90,Box Entries,"Box entries delivered via a cutback, from the Box Entry model in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__away_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a cutback, from the Box Entry model in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__away_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a cutback, from the Box Entry model in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__away_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a cutback, from the Box Entry model in away matches only."
boxentry_box_entry_via_cutback__away_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a cutback, from the Box Entry model in away matches only."
boxentry_box_entry_via_cutback__home,Box Entries,"Box entries delivered via a cutback, from the Box Entry model in home matches only."
boxentry_box_entry_via_cutback__home_per90,Box Entries,"Box entries delivered via a cutback, from the Box Entry model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__home_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a cutback, from the Box Entry model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__home_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a cutback, from the Box Entry model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__home_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a cutback, from the Box Entry model in home matches only."
boxentry_box_entry_via_cutback__home_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a cutback, from the Box Entry model in home matches only."
boxentry_box_entry_via_cutback__last5,Box Entries,"Box entries delivered via a cutback, from the Box Entry model over the most recent 5 matches (season-end form snapshot)."
boxentry_box_entry_via_cutback__last5_per90,Box Entries,"Box entries delivered via a cutback, from the Box Entry model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__last5_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a cutback, from the Box Entry model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__last5_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a cutback, from the Box Entry model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback__last5_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a cutback, from the Box Entry model over the most recent 5 matches (season-end form snapshot)."
boxentry_box_entry_via_cutback__last5_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a cutback, from the Box Entry model over the most recent 5 matches (season-end form snapshot)."
boxentry_box_entry_via_cutback_per90,Box Entries,"Box entries delivered via a cutback, from the Box Entry model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a cutback, from the Box Entry model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a cutback, from the Box Entry model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_cutback_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a cutback, from the Box Entry model (season total)."
boxentry_box_entry_via_cutback_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a cutback, from the Box Entry model (season total)."
boxentry_box_entry_via_through_ball,Box Entries,"Box entries delivered via a through ball, from the Box Entry model (season total)."
boxentry_box_entry_via_through_ball__H1,Box Entries,"Box entries delivered via a through ball, from the Box Entry model during the first half (and first-half extra time where played)."
boxentry_box_entry_via_through_ball__H1_per90,Box Entries,"Box entries delivered via a through ball, from the Box Entry model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__H1_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a through ball, from the Box Entry model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__H1_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a through ball, from the Box Entry model during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__H1_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a through ball, from the Box Entry model during the first half (and first-half extra time where played)."
boxentry_box_entry_via_through_ball__H1_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a through ball, from the Box Entry model during the first half (and first-half extra time where played)."
boxentry_box_entry_via_through_ball__H2,Box Entries,"Box entries delivered via a through ball, from the Box Entry model during the second half (and second-half extra time / shootout where played)."
boxentry_box_entry_via_through_ball__H2_per90,Box Entries,"Box entries delivered via a through ball, from the Box Entry model during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__H2_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a through ball, from the Box Entry model during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__H2_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a through ball, from the Box Entry model during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__H2_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a through ball, from the Box Entry model during the second half (and second-half extra time / shootout where played)."
boxentry_box_entry_via_through_ball__H2_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a through ball, from the Box Entry model during the second half (and second-half extra time / shootout where played)."
boxentry_box_entry_via_through_ball__away,Box Entries,"Box entries delivered via a through ball, from the Box Entry model in away matches only."
boxentry_box_entry_via_through_ball__away_per90,Box Entries,"Box entries delivered via a through ball, from the Box Entry model in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__away_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a through ball, from the Box Entry model in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__away_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a through ball, from the Box Entry model in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__away_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a through ball, from the Box Entry model in away matches only."
boxentry_box_entry_via_through_ball__away_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a through ball, from the Box Entry model in away matches only."
boxentry_box_entry_via_through_ball__home,Box Entries,"Box entries delivered via a through ball, from the Box Entry model in home matches only."
boxentry_box_entry_via_through_ball__home_per90,Box Entries,"Box entries delivered via a through ball, from the Box Entry model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__home_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a through ball, from the Box Entry model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__home_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a through ball, from the Box Entry model in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__home_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a through ball, from the Box Entry model in home matches only."
boxentry_box_entry_via_through_ball__home_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a through ball, from the Box Entry model in home matches only."
boxentry_box_entry_via_through_ball__last5,Box Entries,"Box entries delivered via a through ball, from the Box Entry model over the most recent 5 matches (season-end form snapshot)."
boxentry_box_entry_via_through_ball__last5_per90,Box Entries,"Box entries delivered via a through ball, from the Box Entry model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__last5_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a through ball, from the Box Entry model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__last5_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a through ball, from the Box Entry model over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball__last5_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a through ball, from the Box Entry model over the most recent 5 matches (season-end form snapshot)."
boxentry_box_entry_via_through_ball__last5_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a through ball, from the Box Entry model over the most recent 5 matches (season-end form snapshot)."
boxentry_box_entry_via_through_ball_per90,Box Entries,"Box entries delivered via a through ball, from the Box Entry model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball_per90_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a through ball, from the Box Entry model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball_per90_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a through ball, from the Box Entry model (season total). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
boxentry_box_entry_via_through_ball_percentile,Box Entries - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Box entries delivered via a through ball, from the Box Entry model (season total)."
boxentry_box_entry_via_through_ball_zscore,Box Entries - Z-Score,"Standard-deviations from the group mean for: Box entries delivered via a through ball, from the Box Entry model (season total)."
cards__H1,Situational - By Half,Yellow and red cards received combined (no colour breakdown) during the first half (and first-half extra time where played).
cards__H1_per90,Situational - By Half,"Yellow and red cards received combined (no colour breakdown) during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__H1_per90_percentile,Situational - By Half - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__H1_per90_zscore,Situational - By Half - Z-Score,"Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__H1_percentile,Situational - By Half - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) during the first half (and first-half extra time where played).
cards__H1_zscore,Situational - By Half - Z-Score,Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) during the first half (and first-half extra time where played).
cards__H2,Situational - By Half,Yellow and red cards received combined (no colour breakdown) during the second half (and second-half extra time / shootout where played).
cards__H2_per90,Situational - By Half,"Yellow and red cards received combined (no colour breakdown) during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__H2_per90_percentile,Situational - By Half - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__H2_per90_zscore,Situational - By Half - Z-Score,"Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__H2_percentile,Situational - By Half - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) during the second half (and second-half extra time / shootout where played).
cards__H2_zscore,Situational - By Half - Z-Score,Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) during the second half (and second-half extra time / shootout where played).
cards__away,Situational - Home/Away,Yellow and red cards received combined (no colour breakdown) in away matches only.
cards__away_per90,Situational - Home/Away,"Yellow and red cards received combined (no colour breakdown) in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__away_per90_percentile,Situational - Home/Away - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__away_per90_zscore,Situational - Home/Away - Z-Score,"Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) in away matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__away_percentile,Situational - Home/Away - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) in away matches only.
cards__away_zscore,Situational - Home/Away - Z-Score,Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) in away matches only.
cards__home,Situational - Home/Away,Yellow and red cards received combined (no colour breakdown) in home matches only.
cards__home_per90,Situational - Home/Away,"Yellow and red cards received combined (no colour breakdown) in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__home_per90_percentile,Situational - Home/Away - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__home_per90_zscore,Situational - Home/Away - Z-Score,"Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) in home matches only. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__home_percentile,Situational - Home/Away - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) in home matches only.
cards__home_zscore,Situational - Home/Away - Z-Score,Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) in home matches only.
cards__last5,Situational - Rolling Form (L5),Yellow and red cards received combined (no colour breakdown) over the most recent 5 matches (season-end form snapshot).
cards__last5_per90,Situational - Rolling Form (L5),"Yellow and red cards received combined (no colour breakdown) over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__last5_per90_percentile,Situational - Rolling Form (L5) - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__last5_per90_zscore,Situational - Rolling Form (L5) - Z-Score,"Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) over the most recent 5 matches (season-end form snapshot). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__last5_percentile,Situational - Rolling Form (L5) - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) over the most recent 5 matches (season-end form snapshot).
cards__last5_zscore,Situational - Rolling Form (L5) - Z-Score,Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) over the most recent 5 matches (season-end form snapshot).
cards__leading,Situational - Game State,Yellow and red cards received combined (no colour breakdown) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline).
cards__leading_per90,Situational - Game State,"Yellow and red cards received combined (no colour breakdown) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__leading_per90_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__leading_per90_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__leading_percentile,Situational - Game State - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline).
cards__leading_zscore,Situational - Game State - Z-Score,Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) while the player's team was leading at that moment (score state reconstructed from the raw goal timeline).
cards__level,Situational - Game State,Yellow and red cards received combined (no colour breakdown) while the scoreline was level at that moment.
cards__level_per90,Situational - Game State,"Yellow and red cards received combined (no colour breakdown) while the scoreline was level at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__level_per90_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) while the scoreline was level at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__level_per90_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) while the scoreline was level at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__level_percentile,Situational - Game State - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) while the scoreline was level at that moment.
cards__level_zscore,Situational - Game State - Z-Score,Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) while the scoreline was level at that moment.
cards__trailing,Situational - Game State,Yellow and red cards received combined (no colour breakdown) while the player's team was trailing at that moment.
cards__trailing_per90,Situational - Game State,"Yellow and red cards received combined (no colour breakdown) while the player's team was trailing at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__trailing_per90_percentile,Situational - Game State - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) while the player's team was trailing at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__trailing_per90_zscore,Situational - Game State - Z-Score,"Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) while the player's team was trailing at that moment. Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
cards__trailing_percentile,Situational - Game State - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Yellow and red cards received combined (no colour breakdown) while the player's team was trailing at that moment.
cards__trailing_zscore,Situational - Game State - Z-Score,Standard-deviations from the group mean for: Yellow and red cards received combined (no colour breakdown) while the player's team was trailing at that moment.
clearances__H1,Situational - By Half,Clearances made during the first half (and first-half extra time where played).
clearances__H1_per90,Situational - By Half,"Clearances made during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
clearances__H1_per90_percentile,Situational - By Half - Percentile,"Percentile rank (within position group for players; league-wide for teams) of: Clearances made during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
clearances__H1_per90_zscore,Situational - By Half - Z-Score,"Standard-deviations from the group mean for: Clearances made during the first half (and first-half extra time where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
clearances__H1_percentile,Situational - By Half - Percentile,Percentile rank (within position group for players; league-wide for teams) of: Clearances made during the first half (and first-half extra time where played).
clearances__H1_zscore,Situational - By Half - Z-Score,Standard-deviations from the group mean for: Clearances made during the first half (and first-half extra time where played).
clearances__H2,Situational - By Half,Clearances made during the second half (and second-half extra time / shootout where played).
clearances__H2_per90,Situational - By Half,"Clearances made during the second half (and second-half extra time / shootout where played). Expressed per 90 minutes (using each player/team's season-average minutes per match as the normaliser for the split, since exact per-split minutes are not independently reconstructable from the available lineup data)."
