player,team,attempts,completed,expected,completion_rate,added_value
P. Sandler,Nijmegen Eendracht Combinatie,2,1,0.5669749717552484,0.5,0.43302502824475164
E. Mahmutović,NAC Breda,2,0,0.44976703383486,0.0,-0.44976703383486
F. Stokkers,Go Ahead Eagles,2,0,0.3657061702546827,0.0,-0.3657061702546827
D. Bisschops,Fortuna Sittard,2,0,0.1453988112583143,0.0,-0.1453988112583143
B. van Duijl,Alkmaar Zaanstreek,2,2,0.8856679126826226,1.0,1.1143320873173774
G. Nauber,Go Ahead Eagles,2,1,0.4878484947487225,0.5,0.5121515052512775
C. Verdonk,Nijmegen Eendracht Combinatie,2,0,0.5112826382701301,0.0,-0.5112826382701301
T. Gooijer,PEC Zwolle,2,0,0.3968440414763465,0.0,-0.3968440414763465
T. Wellenreuther,Feyenoord Rotterdam,2,0,0.0694146672546345,0.0,-0.0694146672546345
T. Parrott,Alkmaar Zaanstreek,2,0,0.5728689575761985,0.0,-0.5728689575761985
S. Tengstedt,Go Ahead Eagles,2,0,0.4756155889720397,0.0,-0.4756155889720397
S. Włodarczyk,SBV Excelsior,2,0,0.2896232429721974,0.0,-0.2896232429721974
S. Steijn,Feyenoord Rotterdam,2,1,0.3726763031139746,0.5,0.6273236968860254
D. Janse,FC Groningen,2,1,0.5280627461842555,0.5,0.4719372538157445
J. Faberski,PEC Zwolle,2,1,0.591806373179613,0.5,0.40819362682038696
D. Proper,Nijmegen Eendracht Combinatie,2,0,0.5434822581278402,0.0,-0.5434822581278402
F. Oldrup Jensen,NAC Breda,2,0,0.5757061226308191,0.0,-0.5757061226308191
S. Lemkin,FC Twente,2,0,0.6635239333336551,0.0,-0.6635239333336551
K. Boogaard,Alkmaar Zaanstreek,2,1,0.5227921022925823,0.5,0.47720789770741767
J. Dirksen,Go Ahead Eagles,2,1,0.33360259792248803,0.5,0.666397402077512
J. Baas,Sparta Rotterdam,2,1,0.39672882831817413,0.5,0.6032711716818259
J. De Busser,Go Ahead Eagles,2,0,0.050630761149701206,0.0,-0.050630761149701206
R. van Wolfswinkel,FC Twente,2,0,0.6189194466342356,0.0,-0.6189194466342356
S. Scheperman,Heracles Almelo,2,1,0.4691830840738478,0.5,0.5308169159261522
S. Middendorp,SBV Excelsior,2,0,0.1089902216609552,0.0,-0.1089902216609552
R. Sterling,Feyenoord Rotterdam,2,0,0.379196582202866,0.0,-0.379196582202866
R. van Bommel,PSV Eindhoven,2,2,0.48589767211317225,1.0,1.5141023278868277
K. Fitz-Jim,AFC Ajax,2,0,0.6948118017349045,0.0,-0.6948118017349045
Yarek Gąsiorowski,PSV Eindhoven,1,0,0.0849763844922319,0.0,-0.0849763844922319
Z. Buurmeester,Alkmaar Zaanstreek,1,0,0.2731693753631823,0.0,-0.2731693753631823
L. Koopmans,Fortuna Sittard,1,0,0.0658758777267201,0.0,-0.0658758777267201
R. Owusu-Oduro,Alkmaar Zaanstreek,1,0,0.0301665763997739,0.0,-0.0301665763997739
R. Oudsten,SC Telstar,1,0,0.3974332139173785,0.0,-0.3974332139173785
M. Kleijn,Sparta Rotterdam,1,1,0.273617441010296,1.0,0.7263825589897039
O. Zawada,FC Groningen,1,0,0.0643960871166601,0.0,-0.0643960871166601
M. Amevor,FC Volendam,1,0,0.3670645452249659,0.0,-0.3670645452249659
N. Fichtinger,PEC Zwolle,1,0,0.258230849006906,0.0,-0.258230849006906
N. Hopland,SC Heerenveen,1,0,0.1826933902505041,0.0,-0.1826933902505041
N. Viergever,FC Utrecht,1,0,0.2040916954974879,0.0,-0.2040916954974879
N. Verschuren,FC Volendam,1,0,0.0553530397585778,0.0,-0.0553530397585778
N. Þórisson,Sparta Rotterdam,1,0,0.4221374267571536,0.0,-0.4221374267571536
N. Þórisson,SC Telstar,1,0,0.2448839384762054,0.0,-0.2448839384762054
L. Zeefuik,Heracles Almelo,1,0,0.3316698031870844,0.0,-0.3316698031870844
M. Egbring,SC Heerenveen,1,1,0.3842454485833365,1.0,0.6157545514166636
M. Carrizo,AFC Ajax,1,0,0.2886895365087334,0.0,-0.2886895365087334
M. Soumano,NAC Breda,1,0,0.2935842586417734,0.0,-0.2935842586417734
X. Mbuyamba,FC Volendam,1,0,0.154287630885083,0.0,-0.154287630885083
W. Bouziane,Alkmaar Zaanstreek,1,0,0.1971450262336863,0.0,-0.1971450262336863
A. Pléa,PSV Eindhoven,1,0,0.3254146401543311,0.0,-0.3254146401543311
A. Obispo,PSV Eindhoven,1,0,0.2572855554800181,0.0,-0.2572855554800181
V. Jensen,FC Utrecht,1,0,0.0846753413582239,0.0,-0.0846753413582239
V. Sejk,SC Heerenveen,1,1,0.2807559781164178,1.0,0.7192440218835823
B. Kovács,Alkmaar Zaanstreek,1,0,0.2197614704942891,0.0,-0.2197614704942891
Alexandre Penetra,Alkmaar Zaanstreek,1,0,0.1784085530563739,0.0,-0.1784085530563739
Yoon Do-Young,SBV Excelsior,1,0,0.2764298056808786,0.0,-0.2764298056808786
Z. Booth,SBV Excelsior,1,0,0.242262263436611,0.0,-0.242262263436611
Y. Oukili,Fortuna Sittard,1,0,0.2163980400585624,0.0,-0.2163980400585624
J. de Guzmán,Sparta Rotterdam,1,0,0.0999336861617039,0.0,-0.0999336861617039
L. Tunjić,Fortuna Sittard,1,0,0.1697388388591822,0.0,-0.1697388388591822
L. Unnerstall,FC Twente,1,0,0.0663578021966696,0.0,-0.0663578021966696
L. Zeefuik,Alkmaar Zaanstreek,1,0,0.0909601630420967,0.0,-0.0909601630420967
J. Pereira da Gama,PEC Zwolle,1,0,0.2629389008522973,0.0,-0.2629389008522973
J. Candelaria,NAC Breda,1,0,0.2473593988169306,0.0,-0.2473593988169306
J. Cillessen,Nijmegen Eendracht Combinatie,1,0,0.0299419764567128,0.0,-0.0299419764567128
H. Veerman,FC Volendam,1,0,0.0660749277649184,0.0,-0.0660749277649184
Houboulang Mendes,Fortuna Sittard,1,0,0.052371508959416,0.0,-0.052371508959416
G. van Zwam,Go Ahead Eagles,1,1,0.312535033948174,1.0,0.6874649660518259
S. Bakari,Sparta Rotterdam,1,0,0.1117708469673721,0.0,-0.1117708469673721
Róber González,Nijmegen Eendracht Combinatie,1,0,0.1643711119682465,0.0,-0.1643711119682465
S. Lammers,FC Twente,1,0,0.116458986744087,0.0,-0.116458986744087
S. Haller,FC Utrecht,1,0,0.3171057917392677,0.0,-0.3171057917392677
J. Zoet,Alkmaar Zaanstreek,1,0,0.0240170273097289,0.0,-0.0240170273097289
J. Schouten,PSV Eindhoven,1,0,0.2771676645051239,0.0,-0.2771676645051239
J. Rijssel,SC Heerenveen,1,0,0.2652892612355383,0.0,-0.2652892612355383
K. Dolberg,AFC Ajax,1,0,0.3946664484106861,0.0,-0.3946664484106861
J. Šutalo,AFC Ajax,1,0,0.339031303849451,0.0,-0.339031303849451
R. Pepi,PSV Eindhoven,1,0,0.1149853387999037,0.0,-0.1149853387999037
R. Steur,FC Volendam,1,0,0.032402109431848,0.0,-0.032402109431848
D. Bielica,NAC Breda,1,0,0.0414496436268765,0.0,-0.0414496436268765
C. Tengstedt,Feyenoord Rotterdam,1,0,0.1597784461616758,0.0,-0.1597784461616758
F. de Keijzer,Heracles Almelo,1,0,0.0432846089569726,0.0,-0.0432846089569726
C. Larin,Feyenoord Rotterdam,1,1,0.4649346261490319,1.0,0.5350653738509681
Danilo,Nijmegen Eendracht Combinatie,1,0,0.0333653603618364,0.0,-0.0333653603618364
D. Weidmann,FC Twente,1,0,0.1785945423310673,0.0,-0.1785945423310673
E. Waayers,Go Ahead Eagles,1,1,0.216454041824914,1.0,0.783545958175086
D. Mbayo,PEC Zwolle,1,1,0.2624401916363472,1.0,0.7375598083636528
T. Buitink,PEC Zwolle,1,0,0.1457127515033762,0.0,-0.1457127515033762
S. van Ottele,Fortuna Sittard,1,1,0.082922754045623,1.0,0.917077245954377
D. Kwakman,Alkmaar Zaanstreek,1,0,0.2473915692464598,0.0,-0.2473915692464598
T. Hernes,FC Groningen,1,0,0.2596332828386009,0.0,-0.2596332828386009
T. Kraaijeveld,Feyenoord Rotterdam,1,0,0.3100210919959114,0.0,-0.3100210919959114
T. Tomiyasu,AFC Ajax,1,0,0.2878355813075502,0.0,-0.2878355813075502
A. Carlén,SBV Excelsior,1,0,0.2301466212647933,0.0,-0.2301466212647933
A. Ahmedhodžić,Feyenoord Rotterdam,1,0,0.1995104445308053,0.0,-0.1995104445308053
