player,team,attempts,expected_box_entries,actual_box_entries,added_value
B. Pereira,Nijmegen Eendracht Combinatie,27,9.20958936945162,9,-0.20958936945162066
E. Hansson,SBV Excelsior,22,9.030468129574807,9,-0.030468129574806824
B. Ghalidi,NAC Breda,26,8.951621111135637,9,0.048378888864363034
N. Vesterlund,FC Utrecht,22,8.865258943693474,9,0.13474105630652566
J. Wieckhoff,Heracles Almelo,25,8.852864985161649,8,-0.8528649851616485
L. Martes,Sparta Rotterdam,22,8.807671693878952,10,1.1923283061210483
N. Ünüvar,FC Twente,19,8.782779602508517,12,3.2172203974914826
P. van Aanholt,Sparta Rotterdam,19,8.758916017806312,8,-0.7589160178063121
H. Veerman,FC Volendam,20,8.681039106925384,7,-1.6810391069253843
É. Michut,Fortuna Sittard,20,8.576248457123128,5,-3.5762484571231283
J. Bacuna,FC Volendam,26,8.508754834612818,9,0.4912451653871823
O. Velanas,PEC Zwolle,19,8.27790268835324,9,0.7220973116467597
J. Toornstra,Sparta Rotterdam,21,8.244419423759004,4,-4.244419423759004
A. Ahmedhodžić,Feyenoord Rotterdam,20,8.188012963992875,8,-0.18801296399287537
V. Misidjan,Nijmegen Eendracht Combinatie,24,8.181134924440704,7,-1.1811349244407037
P. Sandler,Nijmegen Eendracht Combinatie,17,8.123938212289325,9,0.8760617877106753
K. Fitz-Jim,AFC Ajax,16,8.088516079368185,6,-2.088516079368185
D. van der Kust,Heracles Almelo,30,8.069155637440792,5,-3.069155637440792
J. Baas,Sparta Rotterdam,23,7.931163982738941,13,5.068836017261059
M. Deijl,Feyenoord Rotterdam,23,7.907526847306028,8,0.09247315269397216
Y. El Kachati,Nijmegen Eendracht Combinatie,22,7.854915373962409,6,-1.8549153739624087
T. van Gilst,Heracles Almelo,18,7.809720927864861,8,0.19027907213513906
J. Mokio,AFC Ajax,21,7.751582722436245,8,0.24841727756375498
M. van der Hoorn,FC Utrecht,25,7.601099377511374,10,2.3989006224886262
D. Koswal,SC Telstar,22,7.54212889150287,6,-1.5421288915028697
K. Sierhuis,Fortuna Sittard,17,7.525821776718659,9,1.4741782232813412
J. Clasie,Alkmaar Zaanstreek,17,7.461892560554079,11,3.5381074394459207
N. Kasanwirjo,Fortuna Sittard,24,7.435681470977672,5,-2.4356814709776717
D. Odoi,NAC Breda,25,7.364581177604293,4,-3.3645811776042933
Z. Buurmeester,PEC Zwolle,15,7.350844247035486,4,-3.350844247035486
J. Lonwijk,Fortuna Sittard,17,7.271642829530784,8,0.7283571704692164
T. Watanabe,Feyenoord Rotterdam,24,7.269020730464908,9,1.7309792695350916
L. Nordås,SC Heerenveen,15,7.076591103824216,6,-1.0765911038242164
O. Sivertsen,Go Ahead Eagles,23,7.070407747636724,8,0.9295922523632756
B. Martins Indi,Sparta Rotterdam,23,7.047617189975587,11,3.952382810024413
L. Oyen,SC Heerenveen,17,7.031645105117044,8,0.9683548948829559
L. Zeefuik,Heracles Almelo,16,6.931796137406732,4,-2.9317961374067316
B. Willumsson,FC Groningen,12,6.777755027018452,6,-0.7777550270184523
O. Wijndal,AFC Ajax,27,6.731609798317938,9,2.2683902016820623
R. Pröpper,FC Twente,28,6.680167773485774,8,1.319832226514226
B. Nieuwkoop,Feyenoord Rotterdam,17,6.638767487902129,5,-1.638767487902129
Y. Baas,AFC Ajax,19,6.616075141960768,8,1.383924858039232
D. Mbayo,PEC Zwolle,12,6.594942362531797,8,1.405057637468203
R. Flamingo,PSV Eindhoven,21,6.589019818451634,7,0.410980181548366
M. Smit,Go Ahead Eagles,14,6.568404509202574,5,-1.5684045092025736
A. Descotte,FC Volendam,15,6.441583853802407,7,0.5584161461975929
M. Meerdink,Alkmaar Zaanstreek,12,6.361600105992398,7,0.6383998940076019
P. Brittijn,Fortuna Sittard,14,6.254986013006938,7,0.7450139869930616
J. Slory,Go Ahead Eagles,25,6.213165658854147,8,1.7868343411458527
G. Alders,SC Telstar,14,6.202988522085313,7,0.7970114779146868
S. Mitrović,SBV Excelsior,14,6.183065760051319,5,-1.1830657600513188
H. Petrov,SC Heerenveen,16,6.17292580138718,4,-2.17292580138718
K. Boogaard,Alkmaar Zaanstreek,14,6.108964473140327,6,-0.1089644731403272
J. Žambůrek,Heracles Almelo,15,6.010525764664793,5,-1.0105257646647932
D. Payne,FC Volendam,18,5.998889258161364,3,-2.9988892581613644
D. Kwakman,FC Volendam,14,5.971099986542158,5,-0.9710999865421579
L. Schouten,SBV Excelsior,15,5.877779118178706,4,-1.8777791181787062
Y. Salah Rahmouni,Go Ahead Eagles,14,5.6772742289477565,5,-0.6772742289477565
M. Willemsen,SC Heerenveen,15,5.649126234837621,5,-0.6491262348376212
R. Fosso,Fortuna Sittard,11,5.612122624820415,5,-0.6121226248204152
J. Slory,Feyenoord Rotterdam,10,5.575279296543307,7,1.4247207034566927
R. Mühren,FC Volendam,12,5.562022075063699,5,-0.5620220750636991
A. Plat,FC Volendam,11,5.559650270100385,3,-2.559650270100385
J. Hornkamp,Heracles Almelo,16,5.550844101131907,8,2.449155898868093
D. Mertens,SC Telstar,15,5.431119095323557,5,-0.43111909532355686
Gonçalo Borges,Feyenoord Rotterdam,20,5.408133304242441,5,-0.4081333042424413
V. van Crooij,Nijmegen Eendracht Combinatie,12,5.31912766537326,2,-3.3191276653732604
Alexandre Penetra,Alkmaar Zaanstreek,20,5.310194757916577,5,-0.3101947579165767
Y. Borges Sanches,Heracles Almelo,12,5.05646046436638,2,-3.0564604643663804
S. Kersten,SC Heerenveen,19,5.054694441297684,3,-2.054694441297684
M. Bruns,FC Twente,10,5.05409628580838,6,0.94590371419162
W. Prins,FC Groningen,18,5.0272470556092275,3,-2.0272470556092275
M. Aïko,Fortuna Sittard,19,5.023348623477124,6,0.9766513765228764
S. Ltaief,Sparta Rotterdam,8,4.952155457034129,3,-1.952155457034129
J. Faberski,PEC Zwolle,15,4.914194432847495,4,-0.9141944328474949
G. Vianello,Sparta Rotterdam,17,4.875112484024705,3,-1.8751124840247053
S. Haller,FC Utrecht,10,4.843106967250602,4,-0.843106967250602
N. Bukala,FC Volendam,12,4.824154667639143,5,0.17584533236085687
A. Van Hoorenbeeck,Heracles Almelo,17,4.74179156744094,6,1.2582084325590603
T. Gooijer,PEC Zwolle,12,4.73620061378127,3,-1.7362006137812704
R. Meissen,SBV Excelsior,15,4.708109763774227,3,-1.7081097637742273
J. Hubner,Fortuna Sittard,17,4.656686180977127,5,0.34331381902287283
T. Booth,FC Twente,14,4.624784762673535,7,2.375215237326465
R. Hillen,NAC Breda,11,4.59735639268984,6,1.4026436073101598
M. Kjølø,FC Twente,10,4.572245961460776,4,-0.5722459614607764
A. Ayew,NAC Breda,15,4.55128843092495,5,0.4487115690750496
R. Pepi,PSV Eindhoven,8,4.551083909537581,3,-1.5510839095375806
D. Weidmann,FC Twente,12,4.543005548112357,6,1.4569944518876428
D. Min,FC Utrecht,10,4.4375573824148615,4,-0.43755738241486153
B. Lucassen,NAC Breda,18,4.437223339145361,4,-0.43722333914536105
T. van den Elshout,Feyenoord Rotterdam,11,4.380864672579925,5,0.619135327420075
V. Sejk,SC Heerenveen,8,4.333652474326896,6,1.6663475256731042
M. Young,Sparta Rotterdam,12,4.313848428571306,6,1.6861515714286943
C. Widell,SBV Excelsior,26,4.279570133161329,3,-1.2795701331613287
C. Terho,Sparta Rotterdam,16,4.204613144735256,4,-0.20461314473525594
T. Ouwejan,Nijmegen Eendracht Combinatie,14,4.139961119356457,5,0.8600388806435433
A. Salama,NAC Breda,9,4.128349837900107,4,-0.12834983790010668
B. van Duijl,Alkmaar Zaanstreek,12,4.089208679224287,7,2.9107913207757132
L. Hartjes,SBV Excelsior,10,4.057186719123284,4,-0.05718671912328421
G. Crettaz,Nijmegen Eendracht Combinatie,43,4.0176470040930505,6,1.9823529959069495
Neville Ogidi Nwankwo,SC Telstar,15,3.960087235370995,4,0.03991276462900517
M. Didden,FC Utrecht,16,3.950321237139556,7,3.049678762860444
V. van Crooij,Sparta Rotterdam,16,3.920021144237825,2,-1.920021144237825
A. Sampsted,Go Ahead Eagles,17,3.9051841988322575,4,0.09481580116774246
N. Fichtinger,PEC Zwolle,8,3.8731637982527793,3,-0.8731637982527793
K. van Oevelen,FC Volendam,45,3.852266567461041,6,2.147733432538959
A. Oufkir,Alkmaar Zaanstreek,8,3.8501338986088456,4,0.14986610139115442
A. Lechkar,SC Telstar,16,3.826203345260349,0,-3.826203345260349
C. Twigt,Go Ahead Eagles,9,3.8245089648830017,4,0.17549103511699826
S. van Hooijdonk,NAC Breda,7,3.807121741719689,0,-3.807121741719689
F. Oldrup Jensen,NAC Breda,13,3.781750278337134,2,-1.781750278337134
V. Jensen,FC Utrecht,7,3.7516276339287398,4,0.24837236607126023
A. Stepanov,FC Utrecht,10,3.747785584935338,3,-0.7477855849353379
C. Tengstedt,Feyenoord Rotterdam,7,3.741222069946532,3,-0.7412220699465322
S. Lemkin,FC Twente,12,3.7317656380056796,3,-0.7317656380056796
M. te Wierik,Heracles Almelo,11,3.703667484780224,6,2.296332515219776
Zidane Iqbal,FC Utrecht,8,3.666188355713361,4,0.333811644286639
O. Zawada,FC Groningen,13,3.634470476878437,2,-1.634470476878437
K. Ogawa,Nijmegen Eendracht Combinatie,9,3.6156536057167243,3,-0.6156536057167243
M. Amevor,FC Volendam,12,3.5547919144399778,3,-0.5547919144399778
N. Verschuren,FC Volendam,15,3.4707229055333246,3,-0.47072290553332463
B. Pauwels,FC Volendam,13,3.457872161881475,2,-1.457872161881475
S. Henderikx,SBV Excelsior,9,3.4292999491679983,6,2.5707000508320017
E. Gürbüz,SC Heerenveen,13,3.38742734882194,2,-1.38742734882194
L. Tunjić,Fortuna Sittard,10,3.3515806441031515,3,-0.3515806441031515
N. Ünüvar,Heracles Almelo,11,3.317555425692402,4,0.6824445743075982
